Age,EdLevel,Gender,YearsCode,YearsCodePro,ComputerSkills,Accessibility,MentalHealth,MainBranch
1,1,0,5,2,17,0,0,0
0,2,0,10,6,23,0,0,1
0,2,0,4,2,13,0,0,1
1,2,0,30,25,8,0,0,1
1,3,0,7,5,15,0,0,1
1,2,0,16,13,10,0,0,1
0,2,0,8,1,11,0,0,1
0,2,0,7,4,35,0,0,1
1,1,0,23,10,31,0,0,1
1,2,0,13,8,20,0,1,1
0,2,0,10,6,14,0,0,1
0,3,0,8,5,25,0,0,1
0,2,0,4,3,12,0,0,0
0,2,1,9,8,6,0,1,1
1,2,0,10,9,7,0,0,1
1,1,0,25,19,33,0,0,1
0,2,2,10,3,15,0,0,1
1,2,0,18,9,14,0,0,0
1,4,0,23,15,9,0,0,0
0,2,0,5,3,22,0,0,1
0,2,0,6,2,18,0,0,1
0,1,0,11,8,6,0,0,1
0,3,0,6,4,14,0,0,1
1,3,2,20,10,6,0,0,1
1,3,2,9,9,10,0,0,1
1,3,0,20,10,14,0,0,1
1,2,0,20,12,15,0,0,1
0,2,0,5,0,10,0,0,1
0,2,0,10,6,10,0,0,1
0,2,0,5,3,10,0,1,1
1,2,0,18,12,19,0,0,1
1,3,0,6,4,7,0,0,1
0,3,0,9,6,23,0,0,1
0,3,0,7,3,3,0,0,1
1,2,0,30,30,11,0,0,1
0,2,0,20,12,9,0,0,1
1,3,0,19,14,16,0,0,1
1,3,0,36,21,18,0,0,1
0,2,0,20,7,20,0,1,1
1,1,0,20,15,22,0,0,1
0,2,0,11,7,16,0,0,1
0,3,0,5,2,15,0,0,1
0,3,0,5,4,15,0,0,1
1,2,0,18,14,9,0,0,1
1,3,0,22,20,21,0,0,1
0,2,0,10,6,13,0,1,1
0,2,0,13,6,3,0,0,1
1,2,0,14,13,10,0,0,1
0,2,0,9,4,15,0,1,1
0,3,0,5,4,27,0,0,1
1,3,0,27,21,15,0,0,1
0,3,0,15,11,27,0,1,1
0,2,0,7,4,17,0,0,1
1,2,0,30,10,11,0,0,1
1,4,0,17,13,4,0,0,0
0,3,0,11,5,29,0,0,1
1,2,0,45,42,2,0,0,1
0,3,0,10,7,15,0,0,1
0,1,0,8,4,21,0,0,1
1,2,0,21,21,11,0,0,1
0,2,0,17,11,13,0,0,1
1,3,0,26,14,16,0,0,1
0,3,0,13,3,6,0,1,1
0,2,0,10,4,19,0,0,1
0,3,1,0,0,14,0,1,1
0,2,0,14,10,8,0,0,1
0,3,0,12,4,31,0,0,1
0,2,0,12,6,19,0,1,1
0,3,0,3,2,10,0,0,1
0,2,0,4,0,11,0,0,1
1,2,0,25,15,8,0,0,1
0,3,0,12,7,28,0,0,1
1,3,0,21,15,14,0,0,1
0,2,0,6,3,19,0,0,1
0,1,0,5,0,8,0,1,1
1,3,0,30,15,22,0,1,0
1,3,0,30,24,21,0,0,1
0,2,0,5,2,16,0,0,1
0,2,0,8,2,21,0,1,1
0,2,0,13,10,25,0,0,0
1,1,0,16,14,8,0,0,1
0,2,0,4,2,17,0,0,1
0,2,0,10,1,2,0,0,1
1,3,0,15,7,36,1,0,1
0,3,0,9,5,16,0,0,1
0,2,0,6,5,14,0,0,1
0,2,0,10,10,10,0,1,1
0,2,0,7,1,13,0,0,1
0,0,1,15,6,18,0,0,1
0,1,0,4,0,15,0,0,1
0,3,0,15,4,23,0,0,1
1,2,0,30,15,28,0,0,1
0,2,1,2,1,12,0,0,1
1,3,2,21,19,6,0,0,1
1,2,0,35,30,14,0,0,1
1,2,0,35,24,8,0,0,1
0,3,2,10,6,26,0,0,1
0,2,0,5,3,7,0,1,1
0,1,0,16,7,19,0,1,1
0,2,0,5,3,11,0,0,1
0,2,0,7,5,13,0,0,1
0,3,0,10,5,5,0,0,1
0,3,0,13,5,24,0,1,0
1,3,0,28,28,8,0,0,1
0,2,0,4,2,16,0,0,1
0,2,0,6,1,10,0,0,1
0,3,0,12,8,6,0,1,1
0,2,0,13,8,1,0,1,1
1,2,0,25,23,15,0,0,1
1,3,0,14,10,16,0,1,1
0,2,0,10,6,27,0,1,1
0,2,0,7,1,18,0,0,1
1,3,0,18,15,17,0,0,1
1,2,0,12,2,5,0,1,1
0,2,0,5,5,4,0,0,1
0,2,0,20,11,9,0,0,0
0,3,0,10,5,12,0,0,1
0,3,0,10,6,7,0,0,1
0,2,0,7,5,5,0,0,1
0,2,0,8,4,16,0,0,1
0,2,0,15,6,18,0,0,1
0,1,0,10,5,4,0,0,1
0,3,0,9,6,13,0,0,1
0,2,0,11,6,9,0,0,1
1,3,2,23,21,17,0,0,1
0,1,1,15,2,20,1,1,1
0,3,0,7,1,10,0,0,1
0,2,0,10,6,9,0,0,1
1,3,0,27,22,32,0,0,1
0,2,0,10,2,33,0,0,1
1,2,0,25,20,5,0,0,1
0,2,0,5,1,8,0,0,1
0,1,0,6,4,19,0,0,1
1,1,0,20,18,26,0,0,1
0,0,0,12,9,10,0,0,1
1,2,0,18,18,10,0,0,1
0,3,0,15,10,23,0,0,1
0,2,0,14,10,18,0,0,1
0,3,0,9,8,10,0,0,1
0,2,0,7,3,18,0,0,1
1,2,0,15,11,5,0,0,1
0,2,0,15,12,19,0,0,1
0,0,1,3,2,3,0,0,1
0,3,0,14,10,11,0,1,1
0,3,0,13,5,27,0,0,1
0,2,0,6,4,18,0,0,1
0,3,0,14,6,16,0,0,1
0,2,0,11,7,12,0,0,1
0,2,0,5,3,11,0,0,1
1,2,0,23,19,7,0,1,1
1,3,0,7,5,10,0,0,1
1,3,0,21,14,10,0,0,1
1,3,0,12,10,5,0,0,1
0,3,0,10,4,3,0,0,1
1,3,0,20,13,4,0,0,1
1,3,0,40,38,2,0,0,1
0,2,0,9,4,15,0,0,1
0,2,0,10,6,25,0,1,1
0,3,0,7,2,6,0,0,1
0,1,0,8,5,9,0,0,1
0,2,0,5,3,11,0,1,1
0,2,0,14,3,18,0,1,1
1,2,0,22,20,7,0,0,1
0,1,0,3,3,5,0,0,1
0,2,0,15,8,9,1,0,1
0,2,0,10,4,19,0,0,1
1,3,0,20,20,19,0,0,1
0,3,0,13,9,16,0,1,1
0,2,0,5,4,21,0,0,1
0,2,0,4,4,21,0,1,1
0,2,0,12,8,5,0,0,1
1,2,0,32,32,9,0,1,1
0,2,0,14,10,3,0,0,1
0,3,0,13,5,4,0,0,1
1,3,0,27,25,16,0,1,1
0,2,0,11,2,16,0,0,1
1,1,0,50,47,5,0,0,1
1,3,0,24,13,3,0,0,0
1,3,0,48,43,5,0,0,1
0,3,0,10,5,9,0,0,1
1,3,0,15,12,23,0,0,1
0,2,0,13,9,9,0,0,1
0,2,0,5,4,20,0,1,1
0,2,0,11,10,11,0,0,1
0,4,0,15,3,3,0,0,0
0,2,0,4,3,21,0,0,1
0,1,0,10,7,12,0,0,1
